sub,sub_name,node,year,venue,title,doi,desc_in_sub,desc_share,spc_out,cited_by,cd,cd5,reach_depth
6,Gesture Elicitation & Recognition,2574,2009,chi,User-defined gestures for surface computing,10.1145/1518701.1518866,104,0.634,1544.6,1293,0.5555555555555556,0.417910447761194,22
6,Gesture Elicitation & Recognition,4046,2013,chi,Memorability of pre-designed and user-defined gesture sets,10.1145/2470654.2466142,49,0.299,553.3,279,-0.11627906976744186,-0.10752688172043011,17
6,Gesture Elicitation & Recognition,407,1988,chi,An empirical comparison of pie vs. linear menus,10.1145/57167.57182,136,0.829,269.9,461,0.7045454545454546,0.6666666666666666,33
6,Gesture Elicitation & Recognition,1016,1996,chi,Pen computing for air traffic control,10.1145/238386.238436,125,0.762,77.1,42,-0.022727272727272728,-0.1,31
6,Gesture Elicitation & Recognition,925,1995,chi,Recognition accuracy and user acceptance of pen interfaces,10.1145/223904.223972,126,0.768,106.2,91,1.0,1.0,33
7,Pen & Sketch Input,322,1986,chi,A study in two-handed input,10.1145/22627.22390,102,0.65,287.6,253,1.0,,38
7,Pen & Sketch Input,234,1985,chi,VIDEOPLACE---an artificial reality,10.1145/317456.317463,101,0.643,98.8,233,1.0,,35
7,Pen & Sketch Input,1868,2006,chi,Hover widgets,10.1145/1124772.1124898,41,0.261,505.9,114,0.02,0.043478260869565216,24
7,Pen & Sketch Input,1104,1997,chi,A comparison of reading paper and on-line documents,10.1145/258549.258787,98,0.624,497.3,576,0.6470588235294118,0.5454545454545454,36
7,Pen & Sketch Input,1714,2005,chi,Design and analysis of delimiters for selection-action pen gesture phrases in scriboli,10.1145/1054972.1055035,73,0.465,495.9,170,0.17045454545454544,0.0,25
7,Pen & Sketch Input,852,1992,chi,A “pile” metaphor for supporting casual organization of information,10.1145/142750.143055,106,0.675,194.5,218,0.45454545454545453,0.8,38
7,Pen & Sketch Input,1175,1998,chi,Beyond paper,10.1145/274644.274680,90,0.573,632.8,322,-0.04411764705882353,0.0,33
7,Pen & Sketch Input,1720,2005,chi,Experimental analysis of mode switching techniques in pen-based user interfaces,10.1145/1054972.1055036,67,0.427,648.0,175,-0.08333333333333333,-0.17647058823529413,25
7,Pen & Sketch Input,894,1994,chi,A taxonomy of see-through tools,10.1145/191666.191786,100,0.637,115.6,141,0.23404255319148937,0.7,34
8,Text Entry,5348,2016,chi,WatchWriter,10.1145/2858036.2858242,58,0.343,722.6,148,-0.16379310344827586,-0.19402985074626866,12
8,Text Entry,1541,2003,chi,Shorthand writing on stylus keyboard,10.1145/642611.642630,115,0.68,565.0,363,0.10256410256410256,0.058823529411764705,24
8,Text Entry,4805,2015,chi,VelociTap,10.1145/2702123.2702135,67,0.396,869.8,127,-0.20353982300884957,-0.15789473684210525,15
8,Text Entry,4265,2014,chi,Uncertain text entry on mobile devices,10.1145/2556288.2557412,77,0.456,815.2,81,-0.06918238993710692,-0.08045977011494253,16
8,Text Entry,3945,2013,chi,ContextType,10.1145/2470654.2481386,85,0.503,669.8,97,0.03519061583577713,0.04225352112676056,17
8,Text Entry,1259,1999,chi,The design and evaluation of a high-performance soft keyboard,10.1145/302979.302983,139,0.822,585.0,416,0.4461538461538462,0.07692307692307693,29
8,Text Entry,1455,2002,chi,"Movement model, hits distribution and learning in virtual keyboarding",10.1145/503376.503381,122,0.722,282.7,75,-0.14516129032258066,-0.17647058823529413,25
8,Text Entry,1523,2003,chi,Metrics for text entry research,10.1145/642611.642632,120,0.71,533.0,396,1.0,1.0,27
8,Text Entry,3572,2012,chi,Personalized input,10.1145/2207676.2208520,90,0.533,658.2,107,-0.0967741935483871,-0.05405405405405406,18
8,Text Entry,1341,2000,chi,Predicting text entry speed on mobile phones,10.1145/332040.332044,113,0.669,374.7,306,0.09016393442622951,0.09523809523809523,28
9,Touch & Multi-touch Input,2849,2010,chi,The generalized perceived input point model and how to double touch accuracy by extracting,10.1145/1753326.1753413,62,0.579,693.8,256,-0.047058823529411764,-0.0136986301369863,20
9,Touch & Multi-touch Input,2530,2009,chi,Back-of-device interaction allows creating very small touch devices,10.1145/1518701.1518995,68,0.636,516.5,303,0.011857707509881422,-0.08,21
9,Touch & Multi-touch Input,4154,2014,chi,Modeling the functional area of the thumb on mobile touchscreen surfaces,10.1145/2556288.2557354,38,0.355,512.0,111,0.06666666666666667,0.06666666666666667,16
9,Touch & Multi-touch Input,293,1986,chi,Voice messaging enhancing the user interface design based on field performance,10.1145/22627.22365,70,0.654,28.2,15,1.0,,23
9,Touch & Multi-touch Input,2281,2008,chi,Blindsight,10.1145/1357054.1357273,69,0.645,156.8,99,0.045454545454545456,0.04,22
9,Touch & Multi-touch Input,2347,2009,chi,MicroRolls,10.1145/1518701.1518843,65,0.607,411.9,121,-0.019736842105263157,-0.09523809523809523,21
9,Touch & Multi-touch Input,3278,2011,chi,Sensor synaesthesia,10.1145/1978942.1979059,49,0.458,428.9,111,-0.02072538860103627,-0.047619047619047616,19
9,Touch & Multi-touch Input,2554,2009,chi,Empirical evaluation for finger input properties in multi-touch interaction,10.1145/1518701.1518864,65,0.607,458.5,172,-0.06481481481481481,-0.0851063829787234,21
11,VR Haptics,4996,2015,chi,Substitutional Reality,10.1145/2702123.2702389,205,0.724,373.6,384,0.3111111111111111,0.1111111111111111,13
11,VR Haptics,6116,2017,chi,Providing Haptics to Walls &amp; Heavy Objects in Virtual Reality by Means of Electrical M,10.1145/3025453.3025600,161,0.569,1512.6,294,-0.045714285714285714,-0.07692307692307693,10
11,VR Haptics,6213,2018,chi,CLAW,10.1145/3173574.3174228,137,0.484,1214.7,248,-0.03333333333333333,0.0,9
11,VR Haptics,904,1994,chi,Passive real-world interface props for neurosurgical visualization,10.1145/191666.191821,208,0.735,282.0,519,0.5833333333333334,0.6428571428571429,37
11,VR Haptics,2665,2010,chi,Mobile music touch,10.1145/1753326.1753443,189,0.668,49.8,84,1.0,1.0,17
11,VR Haptics,5195,2016,chi,Dexmo,10.1145/2858036.2858487,187,0.661,244.0,320,1.0,1.0,11
11,VR Haptics,6227,2018,chi,Haptic Revolver,10.1145/3173574.3173660,142,0.502,1175.1,255,-0.05714285714285714,-0.1111111111111111,9
11,VR Haptics,6811,2018,chi,Thor's Hammer,10.1145/3173574.3174099,121,0.428,1224.2,119,0.03260869565217391,-0.04838709677419355,9
11,VR Haptics,5438,2016,chi,Haptic Retargeting,10.1145/2858036.2858226,202,0.714,1714.6,478,0.38405797101449274,0.24285714285714285,12
