sub,name,group,papers,birth,founders,y0,y2,y4,y6,y8,y10,y15
26,Smart Home Automation,hci,199,2001,17,nan,0.62,0.5,0.43,0.33,0.0,0.33
27,Youth Online Safety,hci,162,2015,17,0.5,0.6,0.44,0.41,0.27,0.3,nan
28,Usable Security & Phishing,hci,152,2014,17,0.5,0.4,0.57,0.2,0.29,0.18,nan
29,Photo Sharing & Privacy,hci,149,2009,15,0.67,0.4,0.86,0.11,0.12,0.0,0.0
30,Authentication & Passwords,hci,145,2008,15,0.67,0.57,0.8,0.42,0.64,0.11,0.2
31,Smart-home Privacy,hci,130,2017,14,nan,0.5,0.19,0.0,0.0,nan,nan
32,App Permissions & Policy,hci,122,2015,15,1.0,0.5,nan,0.18,0.0,0.0,nan
33,Deceptive Advertising Patterns,hci,120,2019,28,nan,0.69,0.69,0.43,nan,nan,nan
34,Location Sharing & Privacy,hci,134,2003,7,nan,0.33,0.0,0.2,0.0,0.0,0.0
35,Task Switching at Work,hci,201,2002,14,nan,1.0,0.5,0.36,0.15,0.29,0.0
36,Notifications & Interruptibility,hci,183,2001,8,nan,0.67,0.5,0.6,0.0,0.0,0.0
37,Social Network Sites at Work,hci,156,2006,20,nan,0.57,0.64,0.36,0.31,0.5,nan
38,Instant Messaging,hci,144,1999,11,1.0,nan,0.33,0.0,nan,nan,0.0
39,Digital Self-control,hci,130,2013,13,0.0,0.38,0.67,0.36,0.18,0.13,nan
40,Smartphone Usage Logging,hci,120,2007,5,0.33,0.33,0.33,0.0,0.2,0.0,nan
41,Email & Peripheral Displays,hci,331,1985,5,nan,nan,nan,nan,nan,nan,0.06
42,Older Adults & Technology,hci,208,2007,8,0.0,0.25,0.5,0.0,0.0,0.0,0.0
43,Automated Driving,hci,136,2015,26,1.0,0.71,0.62,0.0,0.0,0.08,nan
44,Dementia & Ageing Care,hci,134,2016,29,1.0,1.0,0.62,0.44,0.07,0.27,nan
45,Autonomous Vehicle Communication,hci,291,1981,4,0.33,0.4,0.0,nan,0.0,0.0,0.0
47,Sustainable HCI,hci,293,2007,30,nan,0.67,0.75,0.24,0.17,0.13,0.1
48,Multispecies & Urban Nature,hci,192,2016,21,0.25,0.71,0.5,0.27,0.2,0.19,nan
49,Bio-materials & Sustainable Making,hci,167,2019,29,0.33,0.8,0.57,0.31,nan,nan,nan
50,Playful Food Experiences,hci,144,2010,21,0.33,0.5,0.86,0.43,0.0,0.07,0.0
51,"Materials, Death & Legacy",hci,267,2002,3,0.67,nan,nan,nan,0.0,0.0,0.0
52,Explainable Machine Learning,hci,1000,2003,4,nan,nan,0.17,0.0,0.0,nan,0.0
54,Voice & Conversational Agents,hci,759,1994,2,nan,0.4,0.0,0.0,0.25,nan,0.0
55,GUI Toolkits & Web Interfaces,hci,752,1981,5,nan,0.2,0.5,nan,0.0,0.0,0.0
56,Data Visualization,hci,416,2009,17,1.0,0.75,0.73,0.21,0.47,0.16,0.11
57,Search & Recommendation,hci,395,1993,8,nan,0.44,0.4,0.5,0.17,0.17,0.0
58,Video Interfaces & Editing,hci,372,1985,3,nan,nan,nan,0.0,nan,0.0,0.0
59,Programming & Notebooks,hci,360,2001,10,0.33,0.75,nan,nan,0.33,0.12,0.09
62,Usability Methods & Personas,hci,195,1986,3,0.67,0.33,0.2,0.38,0.67,0.0,nan
63,Clinical Information Work,hci,251,1985,4,nan,nan,0.67,0.2,0.0,0.33,0.0
64,Gamification & Engagement,hci,457,2011,48,nan,0.36,0.64,0.55,0.42,0.38,0.11
65,Movement & Somaesthetics,hci,340,2008,7,nan,0.3,0.5,0.27,0.12,0.0,0.12
67,Esports & Player Communities,hci,245,2006,12,nan,0.43,0.33,0.18,0.0,0.0,0.0
68,Location-based Museum Play,hci,158,1998,15,nan,0.25,0.43,0.33,0.57,0.0,0.18
