award,award_year,paper_year,title,venue,sub_name,sub_size,in_sub_cites,rank_in_sub,rank_in_early_quartile
CSCW,2018,2000,Interaction and outeraction,cscw,Instant Messaging,144,36,1,1
CSCW,2017,1998,Mobility in collaboration,cscw,Augmented Reality Collaboration,231,9,43,29
CSCW,2016,1992,Awareness and coordination in shared workspaces,cscw,Real-time Groupware,285,43,1,1
CSCW,2015,1992,Learning from Notes,cscw,CSCW Foundations,139,8,5,4
CSCW,2014,1988,Why CSCW applications fail: problems in the design and evalu,cscw,CSCW Foundations,139,19,1,1
CSCW,2013,1994,Steps towards an ecology of infrastructure,cscw,Infrastructure & Making,275,20,15,15
UbiComp,2024,2014,StudentLife,ubicomp,Behavior Sensing,277,76,1,1
UbiComp,2023,2013,Instant inkjet circuits,ubicomp,Printed Electronics,318,78,1,1
UbiComp,2023,2013,MACH: my automated conversation coach,,,,,,
UbiComp,2022,2012,"What next, ubicomp?",ubicomp,Indoor Localization,170,0,116,34
UbiComp,2022,2012,StressSense,ubicomp,Behavior Sensing,277,23,8,6
UbiComp,2021,2011,PreHeat,ubicomp,Sustainable HCI,293,23,17,13
UbiComp,2021,2011,Understanding my data myself: supporting self-reflection wit,,,,,,
UbiComp,2021,2010,EmotionSense,ubicomp,Smartphone Usage Logging,120,6,20,7
UbiComp,2019,2009,SwimMaster,ubicomp,Exergames & Bodily Play,257,6,65,27
UbiComp,2019,2009,Recognizing daily activities with RFID-based sensors,ubicomp,Hand Input & Gesture Sensing,880,18,111,70
UbiComp,2018,2008,Flowers or a robot army?,ubicomp,Persuasive Health & Activity,158,22,5,5
UbiComp,2018,2008,Pedestrian localisation for indoor environments,ubicomp,Indoor Localization,170,10,5,5
UbiComp,2017,2007,Locating Family Values: A Field Trial of the Whereabouts Clo,ubicomp,Smart Home Automation,199,6,42,19
UbiComp,2017,2007,At the Flick of a Switch: Detecting and Classifying Unique E,ubicomp,Indoor Localization,170,1,79,25
UbiComp,2016,2006,SenseCam: A Retrospective Memory Aid,ubicomp,Memory & Reminiscence,319,24,13,7
UbiComp,2015,2005,Learning and Recognizing the Places We Go,ubicomp,Indoor Localization,170,8,8,7
UbiComp,2014,2004,Activity recognition in the home using simple and ubiquitous,,,,,,
UbiComp,2014,2004,Particle Filters for Location Estimation in Ubiquitous Compu,ubicomp,Indoor Localization,170,5,16,10
UbiComp,2013,2003,Inferring High-Level Behavior from Low-Level Sensors,ubicomp,Urban Mobility Data,161,10,6,4
UbiComp,2012,2002,The Personal Server: Changing the Way We Think about Ubiquit,ubicomp,Indoor Localization,170,3,34,15
UbiComp,2011,2001,Privacy by Design — Principles of Privacy-Aware Ubiquitous S,ubicomp,App Permissions & Policy,122,5,33,17
TEI,2016,2014,Snake Charmer: physically enabling virtual objects,,,,,,
TEI,2015,2013,Seven Principles to Design for Embodied Sensemaking,tei,Tangible Interaction,884,8,112,
TEI,2014,2012,jamSheets: thin interfaces with tunable stiffness enabled by,,,,,,
TEI,2013,2011,A design space for ephemeral user interfaces,tei,Playful Food Experiences,144,13,18,7
TEI,2012,2010,Makey Makey: improvising tangible and nature-based user inte,,,,,,
TEI,2011,2009,Handcrafting textile interfaces from a kit-of-no-parts,tei,E-textiles & Weaving,355,52,5,5
TEI,2010,2008,Electronic popables: exploring paper-based computing through,,,,,,
TEI,2009,2007,Electronics as material: littleBits,,,,,,
TEI,2008,2006,Are tangibles more fun?: comparing children's enjoyment and ,,,,,,
TEI,2007,2005,reacTIVision: a computer-vision framework for table-based ta,,,,,,
MobileHCI,2008,1998,Exploiting context in HCI design for mobile systems,,,,,,
MobileHCI,2009,1999,Implicit human-computer interaction through context,,,,,,
MobileHCI,2011,2001,AudioGPS: spatial audio navigation with a minimal attention ,,,,,,
MobileHCI,2021,2011,Falling asleep with Angry Birds Facebook and Kindle: a large,,,,,,
MobileHCI,2022,2012,Touch behavior with different postures on soft smartphone ke,,,,,,
MobileHCI,2023,2013,What's up with whatsapp?,mobilehci,Instant Messaging,144,25,2,
IUI,2017,2005,Trust in recommender systems,iui,Search & Recommendation,395,7,61,
IUI,2019,2004,SUPPLE,iui,GUI Toolkits & Web Interfaces,752,32,6,
