sub,name,band,year,refs,same_sub_share,same_band_share,other_band_share,mean_age_same_sub
4,Pointing & Target Selection,Sensing & Input Techniques,2026,374,0.516,0.201,0.283,10.4
5,Information Navigation,Sensing & Input Techniques,1980,1,1.0,0.0,0.0,2.0
5,Information Navigation,Sensing & Input Techniques,1981,1,0.0,1.0,0.0,
5,Information Navigation,Sensing & Input Techniques,1982,2,0.5,0.0,0.5,2.0
5,Information Navigation,Sensing & Input Techniques,1986,1,0.0,1.0,0.0,
5,Information Navigation,Sensing & Input Techniques,1987,3,0.333,0.0,0.667,6.0
5,Information Navigation,Sensing & Input Techniques,1988,2,0.5,0.0,0.5,7.0
5,Information Navigation,Sensing & Input Techniques,1989,8,0.375,0.25,0.375,3.67
5,Information Navigation,Sensing & Input Techniques,1990,15,0.667,0.067,0.267,3.1
5,Information Navigation,Sensing & Input Techniques,1991,20,0.7,0.05,0.25,1.57
5,Information Navigation,Sensing & Input Techniques,1992,39,0.538,0.077,0.385,2.24
5,Information Navigation,Sensing & Input Techniques,1993,43,0.837,0.047,0.116,2.61
5,Information Navigation,Sensing & Input Techniques,1994,88,0.761,0.08,0.159,3.33
5,Information Navigation,Sensing & Input Techniques,1995,122,0.73,0.131,0.139,3.49
5,Information Navigation,Sensing & Input Techniques,1996,85,0.741,0.118,0.141,3.75
5,Information Navigation,Sensing & Input Techniques,1997,37,0.703,0.027,0.27,3.27
5,Information Navigation,Sensing & Input Techniques,1998,89,0.697,0.067,0.236,4.56
5,Information Navigation,Sensing & Input Techniques,1999,78,0.744,0.051,0.205,4.98
5,Information Navigation,Sensing & Input Techniques,2000,100,0.66,0.07,0.27,4.95
5,Information Navigation,Sensing & Input Techniques,2001,88,0.591,0.068,0.341,6.96
5,Information Navigation,Sensing & Input Techniques,2002,125,0.592,0.128,0.28,5.88
5,Information Navigation,Sensing & Input Techniques,2003,93,0.591,0.108,0.301,6.75
5,Information Navigation,Sensing & Input Techniques,2004,115,0.748,0.13,0.122,7.98
5,Information Navigation,Sensing & Input Techniques,2005,111,0.685,0.162,0.153,8.22
5,Information Navigation,Sensing & Input Techniques,2006,152,0.678,0.105,0.217,7.19
5,Information Navigation,Sensing & Input Techniques,2007,125,0.688,0.192,0.12,7.09
5,Information Navigation,Sensing & Input Techniques,2008,269,0.617,0.182,0.201,8.54
5,Information Navigation,Sensing & Input Techniques,2009,70,0.586,0.143,0.271,7.98
5,Information Navigation,Sensing & Input Techniques,2010,82,0.561,0.171,0.268,11.46
5,Information Navigation,Sensing & Input Techniques,2011,111,0.486,0.207,0.306,10.17
5,Information Navigation,Sensing & Input Techniques,2012,124,0.645,0.113,0.242,11.14
5,Information Navigation,Sensing & Input Techniques,2013,158,0.494,0.184,0.323,10.64
5,Information Navigation,Sensing & Input Techniques,2014,134,0.657,0.134,0.209,11.26
5,Information Navigation,Sensing & Input Techniques,2015,112,0.438,0.375,0.188,8.61
5,Information Navigation,Sensing & Input Techniques,2016,81,0.728,0.173,0.099,10.59
5,Information Navigation,Sensing & Input Techniques,2017,55,0.655,0.127,0.218,14.61
5,Information Navigation,Sensing & Input Techniques,2018,52,0.673,0.058,0.269,12.43
5,Information Navigation,Sensing & Input Techniques,2019,39,0.538,0.282,0.179,15.24
5,Information Navigation,Sensing & Input Techniques,2020,73,0.233,0.479,0.288,14.94
5,Information Navigation,Sensing & Input Techniques,2021,12,0.417,0.167,0.417,19.4
5,Information Navigation,Sensing & Input Techniques,2022,23,0.826,0.087,0.087,19.37
5,Information Navigation,Sensing & Input Techniques,2023,74,0.311,0.338,0.351,21.83
5,Information Navigation,Sensing & Input Techniques,2024,36,0.167,0.139,0.694,18.83
5,Information Navigation,Sensing & Input Techniques,2026,35,0.4,0.486,0.114,15.57
6,Text Entry,Sensing & Input Techniques,1995,1,0.0,0.0,1.0,
6,Text Entry,Sensing & Input Techniques,1997,2,0.5,0.0,0.5,2.0
6,Text Entry,Sensing & Input Techniques,1998,1,0.0,1.0,0.0,
6,Text Entry,Sensing & Input Techniques,1999,6,0.333,0.333,0.333,3.0
6,Text Entry,Sensing & Input Techniques,2000,11,0.545,0.273,0.182,1.33
6,Text Entry,Sensing & Input Techniques,2001,16,0.562,0.375,0.062,2.0
6,Text Entry,Sensing & Input Techniques,2002,15,0.8,0.133,0.067,3.5
6,Text Entry,Sensing & Input Techniques,2003,32,0.5,0.406,0.094,3.19
6,Text Entry,Sensing & Input Techniques,2004,37,0.811,0.189,0.0,3.7
6,Text Entry,Sensing & Input Techniques,2005,16,0.938,0.062,0.0,3.8
6,Text Entry,Sensing & Input Techniques,2006,75,0.56,0.333,0.107,4.07
6,Text Entry,Sensing & Input Techniques,2007,40,0.65,0.325,0.025,3.69
6,Text Entry,Sensing & Input Techniques,2008,46,0.739,0.13,0.13,5.09
6,Text Entry,Sensing & Input Techniques,2009,13,0.692,0.154,0.154,4.78
6,Text Entry,Sensing & Input Techniques,2010,62,0.613,0.339,0.048,7.87
6,Text Entry,Sensing & Input Techniques,2011,54,0.778,0.148,0.074,7.48
6,Text Entry,Sensing & Input Techniques,2012,130,0.546,0.354,0.1,7.04
6,Text Entry,Sensing & Input Techniques,2013,99,0.596,0.323,0.081,7.05
6,Text Entry,Sensing & Input Techniques,2014,135,0.637,0.311,0.052,6.02
6,Text Entry,Sensing & Input Techniques,2015,228,0.64,0.281,0.079,6.11
6,Text Entry,Sensing & Input Techniques,2016,266,0.695,0.214,0.09,5.98
6,Text Entry,Sensing & Input Techniques,2017,261,0.613,0.345,0.042,6.58
6,Text Entry,Sensing & Input Techniques,2018,371,0.704,0.248,0.049,6.66
6,Text Entry,Sensing & Input Techniques,2019,477,0.683,0.256,0.061,6.36
6,Text Entry,Sensing & Input Techniques,2020,442,0.658,0.269,0.072,6.72
6,Text Entry,Sensing & Input Techniques,2021,489,0.542,0.329,0.129,6.38
6,Text Entry,Sensing & Input Techniques,2022,464,0.711,0.153,0.136,7.0
6,Text Entry,Sensing & Input Techniques,2023,469,0.659,0.235,0.107,7.53
6,Text Entry,Sensing & Input Techniques,2024,319,0.639,0.257,0.103,7.31
6,Text Entry,Sensing & Input Techniques,2025,536,0.595,0.293,0.112,7.54
6,Text Entry,Sensing & Input Techniques,2026,162,0.617,0.167,0.216,8.85
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1982,1,0.0,1.0,0.0,
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1986,3,0.0,0.333,0.667,
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1991,4,0.0,0.75,0.25,
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1992,2,0.5,0.0,0.5,1.0
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1993,2,0.0,0.0,1.0,
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1994,5,0.0,0.4,0.6,
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1995,33,0.333,0.152,0.515,1.45
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1996,13,0.308,0.231,0.462,1.5
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1997,19,0.684,0.053,0.263,3.15
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1998,28,0.429,0.107,0.464,3.58
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,1999,31,0.387,0.258,0.355,3.75
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2000,55,0.527,0.145,0.327,4.66
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2001,6,0.167,0.667,0.167,10.0
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2002,3,0.333,0.333,0.333,1.0
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2003,24,0.625,0.125,0.25,5.07
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2004,36,0.944,0.0,0.056,5.56
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2005,19,0.263,0.421,0.316,4.2
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2006,7,0.571,0.286,0.143,10.0
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2007,56,0.375,0.429,0.196,9.05
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2008,28,0.536,0.071,0.393,9.47
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2009,34,0.412,0.5,0.088,6.36
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2010,66,0.439,0.303,0.258,7.72
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2011,61,0.361,0.393,0.246,3.68
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2012,190,0.432,0.405,0.163,5.55
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2013,182,0.5,0.242,0.258,5.34
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2014,230,0.443,0.313,0.243,6.81
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2015,135,0.363,0.407,0.23,6.55
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2016,110,0.627,0.264,0.109,6.42
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2017,178,0.528,0.236,0.236,8.61
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2018,277,0.473,0.321,0.206,6.4
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2019,293,0.464,0.276,0.259,6.29
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2020,260,0.581,0.296,0.123,6.53
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2021,138,0.681,0.116,0.203,6.69
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2022,574,0.434,0.319,0.247,7.72
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2023,337,0.362,0.318,0.32,7.52
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2024,145,0.441,0.283,0.276,7.89
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2025,224,0.527,0.214,0.259,9.3
7,Gesture Elicitation & Recognition,Sensing & Input Techniques,2026,130,0.508,0.246,0.246,9.67
8,Performance Modelling & Latency,Sensing & Input Techniques,1986,9,0.889,0.0,0.111,1.12
8,Performance Modelling & Latency,Sensing & Input Techniques,1988,1,1.0,0.0,0.0,2.0
8,Performance Modelling & Latency,Sensing & Input Techniques,1989,10,0.5,0.1,0.4,2.8
8,Performance Modelling & Latency,Sensing & Input Techniques,1990,8,1.0,0.0,0.0,2.88
8,Performance Modelling & Latency,Sensing & Input Techniques,1991,3,1.0,0.0,0.0,1.33
8,Performance Modelling & Latency,Sensing & Input Techniques,1992,12,0.667,0.167,0.167,1.88
8,Performance Modelling & Latency,Sensing & Input Techniques,1994,15,0.733,0.067,0.2,3.27
8,Performance Modelling & Latency,Sensing & Input Techniques,1995,28,0.607,0.036,0.357,3.59
8,Performance Modelling & Latency,Sensing & Input Techniques,1996,36,0.722,0.083,0.194,4.15
8,Performance Modelling & Latency,Sensing & Input Techniques,1997,16,0.875,0.062,0.062,3.57
8,Performance Modelling & Latency,Sensing & Input Techniques,1998,15,0.467,0.2,0.333,4.43
8,Performance Modelling & Latency,Sensing & Input Techniques,1999,34,0.529,0.088,0.382,5.61
8,Performance Modelling & Latency,Sensing & Input Techniques,2000,32,0.625,0.125,0.25,4.85
8,Performance Modelling & Latency,Sensing & Input Techniques,2001,40,0.675,0.175,0.15,5.41
8,Performance Modelling & Latency,Sensing & Input Techniques,2002,30,0.667,0.2,0.133,6.85
